a1,a2,d,D,B,c,c1
71800C,71800AC,10,19,5,0.3,0.1
71801C,71801AC,12,21,7,0.3,0.1
71802C,71802AC,15,24,5,0.3,0.1
71803C,71803AC,17,26,5,0.3,0.1
71804C,71804AC,20,32,5,0.3,0.1
71805C,71805AC,25,37,1,0.3,0.15
71806C,71806AC,30,42,7,0.3,0.15
71807C,71807AC,35,47,7,0.3,0.15
71808C,71808AC,40,52,7,0.3,0.15
71809C,71809AC,45,58,7,0.3,0.15
71810C,71810AC,50,65,7,0.3,0.15
71811C,71811AC,55,72,9,0.3,0.15
71812C,71812AC,60,78,10,0.3,0.15
71813C,71813AC,65,85,10,0.6,0.15
71814C,71814AC,70,90,10,0.6,0.15
71815C,71815AC,75,95,10,0.6,0.15
71816C,71816AC,80,100,10,0.6,0.15
71817C,71817AC,85,110,13,1,0.3
71818C,71818AC,90,115,13,1,0.3
71819C,71819AC,95,120,13,1,0.3
71820C,71820AC,100,125,13,1,0.3
71821C,71821AC,105,130,13,1,0.3
71822C,71822AC,110,140,16,1,0.3
71824C,71824AC,120,150,16,1,0.3
71826C,71826AC,130,165,18,1.1,0.6
71828C,71828AC,140,175,18,1.1,0.6
71830C,71830AC,150,190,20,1.1,0.6
71832C,71832AC,160,200,20,1.1,0.6
71834C,71834AC,170,215,22,1.1,0.6
71836C,71836AC,180,225,22,1.1,0.6
71838C,71838AC,190,240,24,1.5,0.6
71840C,71840AC,200,250,24,1.5,0.6
71844C,71844AC,220,270,24,1.5,0.6
71848C,71848AC,240,300,28,2,1
71852C,71852C,260,320,28,2,1
71856C,71856C,280,350,33,2,1.1
71860C,71860C,300,380,38,2.1,1.1
71864C,71864C,320,400,38,2.1,1.1
71868C,71868C,340,420,38,2.1,1.1
71872C,71872C,360,440,38,2.1,1.1
719/7C,,7,17,5,0.3,0.1
719/8C,,8,19,6,0.3,0.1
719/9C,,9,20,6,0.3,0.1
71900C,71900AC,10,22,6,0.3,0.1
71901C,71901AC,12,24,6,0.3,0.1
71902C,71902AC,15,28,7,0.3,0.1
71903C,71903AC,17,30,7,0.3,0.1
71904C,71904AC,20,37,9,0.3,0.15
71905C,71905AC,25,42,9,0.3,0.15
71906C,71906AC,30,47,9,0.3,0.15
71907C,71907AC,35,55,10,0.6,0.15
71908C,71908AC,40,62,12,0.6,0.15
71909C,71909AC,45,68,12,0.6,0.15
71910C,71910AC,50,72,12,0.6,0.15
71911C,71911AC,55,80,13,1,0.3
71912C,71912AC,60,85,13,1,0.3
71913C,71913AC,65,90,13,1,0.3
71914C,71914AC,70,100,16,1,0.3
71915C,71915AC,75,105,16,1,0.3
71916C,71916AC,80,110,16,1,0.3
71917C,71917AC,85,120,18,1.1,0.6
71918C,71918AC,90,125,18,1.1,0.6
71919C,71919AC,95,130,18,1.1,0.6
71920C,71920AC,100,140,20,1.1,0.6
71921C,71921AC,105,145,20,1.1,0.6
71922C,71922AC,110,150,20,1.1,0.6
71924C,71924AC,120,165,22,1.1,0.6
71926C,71926AC,130,180,24,1.5,0.6
71928C,71928AC,140,190,24,1.5,0.6
71930C,71930AC,150,210,28,2,1
71932C,71932AC,160,220,28,2,1
71934C,71934AC,170,230,28,2,1
71936C,71936AC,180,250,33,2,1
71938C,71938AC,190,260,33,2,1
71940C,71940AC,200,280,38,2.1,1
71944C,71944AC,220,300,38,2.1,1
71948C,71948AC,240,320,38,2.1,1
71952C,71952AC,260,360,46,2.1,1.1
71956C,71956AC,280,380,46,2.1,1.1
71960C,71960AC,300,420,56,3,1.1
71964C,71964AC,320,440,56,3,1.1
71968C,71968AC,340,460,56,3,1.1
71972C,71972AC,360,480,56,3,1.1
71976C,71976AC,380,520,65,4,1.5
71980C,71980AC,400,540,65,4,1.5
71984C,71984AC,420,560,65,4,1.5
71988C,71988AC,440,600,74,4,1.5
71992C,71992AC,460,620,74,4,1.5
705C,705AC,5,14,5,0.2,0.1
706C,706AC,6,17,6,0.3,0.6
707C,707AC,7,19,6,0.3,0.1
708C,708AC,8,22,7,0.3,0.1
709C,709AC,9,24,7,0.3,0.1
7000C,7000AC,10,26,8,0.3,0.1
7001C,7001AC,12,28,8,0.3,0.1
7002C,7002AC,15,32,9,0.3,0.1
7003C,7003AC,17,35,10,0.3,0.1
7004C,7004AC,20,42,12,0.6,0.3
7005C,7005AC,25,47,12,0.6,0.3
7006C,7006AC,30,55,13,1,0.3
7007C,7007AC,35,62,14,1,0.3
7008C,7008AC,40,68,15,1,0.3
7009C,7009AC,45,75,16,1,0.3
7010C,7010AC,50,80,16,1,0.3
7011C,7011AC,55,90,18,1.1,0.6
7012C,7012AC,60,95,18,1.1,0.6
7013C,7013AC,65,100,18,1.1,0.6
7014C,7014AC,70,110,20,1.1,0.6
7015C,7015AC,75,115,20,1.1,0.1
7016C,7016AC,80,125,22,1.1,0.6
7017C,7017AC,85,130,22,1.1,0.6
7018C,7018AC,90,140,24,1.5,0.6
7019C,7019AC,95,145,24,1.5,0.6
7020C,7020AC,100,150,24,1.5,0.6
7021C,7021AC,105,160,26,2,1
7022C,7022AC,110,170,28,2,1
7024C,7024AC,120,180,28,2,1
7026C,7026AC,130,200,33,2,1
7028C,7028AC,140,210,33,2,1
7030C,7030AC,150,225,35,2.1,1
7032C,7032AC,160,240,38,2.1,1
7034C,7034AC,170,260,42,2.1,1.1
7036C,7036AC,180,280,46,2.1,1.1
7038C,7038AC,190,290,46,2.1,1.1
7040C,7040AC,200,310,51,2.1,1.1
7044C,7044AC,220,340,56,3,1.1
7048C,7048AC,240,360,56,3,1.1
7052C,7052AC,260,400,65,4,1.5
7056C,7056AC,280,420,65,4,1.5
7060C,7060AC,300,460,74,4,1.5
7064C,7064AC,320,480,74,5,1.5
7068C,7068AC,340,520,82,5,2
7072C,7074AC,360,540,82,5,2
7076C,7076AC,380,560,82,5,2
